Year,Week number,Sum of UNITS,Sum of Field_sourceCol_F_value_A2,Count of VEND,Sum of DOLLARS,Count of ITEM,Sum of Field_sourceCol_D_value_2,Sum of Field_sourceCol_D_value_1,Sum of Field_sourceCol_D_value_0,Sum of Field_sourceCol_F_value_A+,Sum of Field_sourceCol_F_value_C,Sum of Field_sourceCol_F_value_B,Sum of Field_sourceCol_F_value_A,Sum of Field_sourceCol_F_value_NONE,Sum of PR
2009,28,198,5,152,1572.73,152,0,13,139,0,0,0,5,147,15
2009,29,194,6,155,1678.47,155,0,13,142,0,0,0,6,149,14
2009,30,201,3,162,1971.14,162,0,27,135,0,0,13,3,146,16
2009,31,169,4,154,1662.97,154,1,23,130,0,0,4,4,146,16
2009,32,247,0,235,2683.24,235,0,8,227,0,0,1,0,234,7
2009,33,262,0,236,2830.8,236,0,21,215,0,0,0,0,236,18
2009,34,246,0,230,2625.73,230,0,34,196,0,0,7,0,223,15
2009,35,271,0,242,2870.38,242,1,34,207,0,0,1,0,241,19
2009,36,542.4799995,23,471,5961.487988,471,0,74,397,0,0,8,23,440,34
2009,37,451,1,389,4637.17,389,0,21,368,0,0,0,1,388,12
2009,38,428,0,380,4525.09,380,0,21,359,0,0,0,0,380,19
2009,39,378,0,335,4009.23,335,0,23,312,0,0,4,0,331,22
2009,40,361,0,288,3214.5,288,0,42,246,0,0,3,0,285,28
2009,41,275.1699991,0,230,2690.523391,230,0,16,214,0,0,0,0,230,15
2009,42,217,0,181,2084.57,181,0,14,167,0,0,7,0,174,8
2009,43,248,0,206,2325.52,206,0,10,196,0,0,4,0,202,8
2009,44,196,1,171,1962.59,171,1,11,159,0,0,0,1,170,11
2009,45,206.04,1,178,2109.1412,178,0,16,162,0,0,0,1,177,7
2009,46,220,0,194,2242.98,194,2,29,163,0,0,2,0,192,8
2009,47,212.04,6,216,2365.179996,216,1,38,177,0,0,6,6,204,15
2009,48,479,5,433,4996.5,433,0,26,407,0,0,5,5,423,11
2009,49,359,1,315,3581.8,315,0,25,290,0,0,1,1,313,18
2009,50,389,0,335,3974.95,335,3,8,324,0,0,0,0,335,13
2009,51,511,19,456,5826.93,456,0,30,426,0,0,0,19,437,15
2009,52,593,20,533,6481.51,533,8,27,498,0,0,0,20,513,11
2009,53,324,1,278,3426.12,278,0,7,271,0,0,0,1,277,7
2010,2010,,,,,,,,,,,,,,
2010,1,95,0,83,876.76,83,0,3,80,0,0,0,0,83,5
2010,2,335.3999996,4,292,3325.85719,292,0,17,275,0,0,3,4,285,13
2010,3,334,0,283,3259.9,283,0,19,264,0,0,5,0,278,8
2010,4,319.64,3,303,3323.169998,303,0,24,279,0,0,0,3,300,6
2010,5,320.6799999,2,345,3239.73999,345,5,12,328,0,0,1,2,342,3
2010,6,264,5,233,2818.24,233,11,19,203,0,0,0,5,228,7
2010,7,336,2,299,3277.24,299,6,13,280,0,0,0,2,297,7
2010,8,331,0,293,3381.83,293,1,17,275,0,0,0,0,293,10
2010,9,298,1,257,2958.5,257,0,13,244,0,0,1,1,255,8
2010,10,359,1,304,3434.97,304,0,18,286,0,0,0,1,303,16
2010,11,379,0,329,3916.94,329,0,28,301,0,0,0,0,329,25
2010,12,373,6,333,3848.16,333,0,12,321,0,0,0,6,327,12
2010,13,331,1,302,3422.18,302,0,22,280,0,0,5,1,296,14
2010,14,518.17,2,463,5493.1469,463,0,16,447,7,0,0,2,454,14
2010,15,333.0799999,0,288,3365.815198,288,0,19,269,0,0,2,0,286,8
2010,16,412,11,364,4371.35,364,0,20,344,0,0,1,11,352,9
2010,17,379,1,325,4063.45,325,0,26,299,0,0,0,1,324,22
2010,18,506,3,407,5089.77,407,0,21,386,0,0,2,3,402,21
2010,19,346,8,307,3697.23,307,0,22,285,0,0,4,8,295,16
2010,20,393,0,346,4030.15,346,0,16,330,0,0,2,0,344,12
2010,21,459,0,397,4768.81,397,0,34,363,0,0,0,0,397,16
2010,22,624,0,551,6757.75,551,0,24,527,0,0,0,0,551,19
2010,23,408,0,374,4338.21,374,0,22,352,0,0,0,0,374,11
2010,24,493.8899851,0,413,5161.112073,413,0,31,382,0,0,0,0,413,17
2010,25,471.17,0,427,4698.379799,427,0,23,404,0,0,0,0,427,21
2010,26,510,0,437,5714.27,437,0,5,432,0,0,0,0,437,17
2010,27,732.5,0,645,8465.415,645,0,29,616,0,0,0,0,645,19
2010,28,450.499999,0,400,4599.505991,400,0,3,397,0,0,0,0,400,6
2010,29,444,0,398,4701.09,398,0,20,378,0,0,0,0,398,9
2010,30,391,0,355,4040.37,355,0,17,338,0,0,0,0,355,6
2010,31,459,0,406,4759.94,406,0,26,380,0,0,0,0,406,14
2010,32,487,0,400,4714.68,400,0,30,370,0,0,0,0,400,11
2010,33,462,0,393,4684.69,393,0,23,370,0,0,0,0,393,10
2010,34,416,4,373,4274.84,373,0,21,352,0,0,0,4,369,15
2010,35,521,18,441,5484.72,441,0,36,405,0,0,0,18,423,19
2010,36,497.1399994,0,429,5515.073789,429,0,28,401,0,0,0,0,429,20
2010,37,376,0,326,4087.91,326,0,21,305,0,0,0,0,326,9
2010,38,366,0,314,3728.47,314,0,22,292,0,0,2,0,312,10
2010,39,319,0,278,3353.75,278,0,9,269,0,0,0,0,278,8
2010,40,384,0,339,3852.68,339,0,12,327,0,0,1,0,338,18
2010,41,339.4799995,0,304,3538.320391,304,0,9,295,0,0,0,0,304,13
2010,42,352,0,319,3849.14,319,0,0,319,0,0,0,0,319,7
2010,43,342,0,306,3810.5,306,0,17,289,0,0,4,0,302,10
2010,44,307,2,269,3350.92,269,0,9,260,0,0,5,2,262,10
2010,45,301,8,263,3235.88,263,0,19,244,0,0,0,8,255,16
2010,46,344,8,304,3781.53,304,0,24,280,0,0,0,8,296,9
2010,47,442.7199993,15,391,5016.225586,391,0,23,368,0,0,0,15,376,16
2010,48,460,10,417,5078.61,417,0,10,407,0,0,0,10,407,17
2010,49,284,1,250,2867.64,250,0,5,245,0,0,1,1,248,3
2010,50,324,0,291,3299.88,291,0,0,291,0,0,4,0,287,6
2010,51,386,0,344,4030.12,344,0,24,320,0,0,0,0,344,15
2010,52,618,0,554,6746.4,554,0,1,553,0,0,0,0,554,24
2010,53,377,0,336,3861.23,336,0,14,322,0,0,0,0,336,18
2011,1,32,0,30,318.43,30,0,2,28,0,0,0,0,30,1
2011,2,271,0,237,2657.47,237,0,8,229,0,0,1,0,236,4
2011,3,386,4,319,3752.54,319,0,14,305,0,0,0,4,315,5
2011,4,339,1,283,3250.63,283,0,8,275,0,0,1,1,281,5
2011,5,300,0,256,2877.85,256,0,11,245,0,0,1,0,255,2
2011,6,442,9,395,4761.97,395,0,22,373,0,0,1,9,385,14
2011,7,277.5,7,255,2862.05,255,0,21,234,0,0,1,7,247,14
2011,8,321.5699997,8,274,3213.844888,274,0,16,258,0,0,1,8,265,14
2011,9,293.1499996,0,265,3113.296086,265,0,17,248,0,0,1,0,264,7
2011,10,353.3199999,9,299,3508.051694,299,0,23,276,0,0,2,9,288,16
2011,11,325,2,286,3256.87,286,0,12,274,0,0,1,2,283,9
2011,12,334,0,304,3496.37,304,0,11,293,0,0,4,0,300,12
2011,13,248,0,217,2523.19,217,0,5,212,0,0,1,0,216,11
2011,14,313,1,289,3443.25,289,0,15,274,0,0,1,1,287,7
2011,15,299,3,272,3191.12,272,0,15,257,0,0,3,3,266,6
2011,16,317,7,295,3554.35,295,0,6,289,0,0,1,7,287,12
2011,17,472,8,426,5097.21,426,0,1,425,0,0,14,8,404,20
2011,18,300,3,265,3078.65,265,0,1,264,0,0,3,3,259,6
2011,19,359,1,316,3926.85,316,0,2,314,0,0,1,1,314,12
2011,20,376,1,318,4066.9,318,0,12,306,0,0,1,1,316,14
2011,21,358,0,322,4067.67,322,0,9,313,0,0,0,0,322,17
2011,22,553,0,485,6836.6,485,0,4,481,0,0,1,0,484,28
2011,23,472,0,407,5123.34,407,0,14,393,0,8,0,0,399,15
2011,24,492,0,398,5523.17,398,12,13,373,0,0,0,0,398,10
